time,width,loc,scale,stat,pval
195,1.7768E+00,2.5470E-03,9.8648E-01,8.8901E-02,8.0570E-01
196,1.8030E+00,4.2448E-03,9.7702E-01,1.0083E-01,6.7801E-01
197,1.7407E+00,6.6375E-03,9.7066E-01,7.7523E-02,9.1913E-01
198,1.5855E+00,1.0855E-03,9.9616E-01,8.1794E-02,8.9157E-01
199,1.9443E+00,1.2178E-02,9.2578E-01,7.9839E-02,8.9470E-01
200,1.4927E+00,-5.6712E-03,1.0183E+00,8.1393E-02,9.0817E-01
201,1.5701E+00,-4.5603E-04,1.0016E+00,9.2162E-02,7.7914E-01
202,1.5734E+00,-7.6538E-03,1.0300E+00,8.8683E-02,7.9877E-01
203,1.6233E+00,-6.3524E-03,1.0275E+00,7.8518E-02,8.9948E-01
204,1.4696E+00,-5.1812E-03,1.0160E+00,1.0373E-01,6.2418E-01
205,1.5392E+00,-1.5834E-03,1.0053E+00,6.5592E-02,9.8065E-01
206,1.6530E+00,-3.7524E-03,1.0166E+00,1.0546E-01,6.0081E-01
207,1.6411E+00,-9.7295E-03,1.0458E+00,7.6777E-02,9.0786E-01
208,1.5904E+00,3.2360E-03,9.8877E-01,7.6053E-02,9.1908E-01
209,1.5433E+00,-3.1229E-03,1.0108E+00,1.0049E-01,6.1706E-01
210,1.5936E+00,1.3660E-03,9.9510E-01,1.4305E-01,1.9112E-01
211,1.5874E+00,7.7577E-02,8.1791E-01,7.3457E-02,9.3728E-01
212,1.5072E+00,-1.9099E-02,1.0730E+00,7.9294E-02,8.7293E-01
213,1.4990E+00,-2.0728E-03,1.0065E+00,8.6922E-02,8.0922E-01
214,1.5553E+00,-1.3011E-02,1.0519E+00,7.2934E-02,9.3622E-01
215,7.9029E+00,2.8355E-02,2.9767E-01,2.8870E-01,2.0941E-04
216,2.2719E+00,8.5037E-03,8.8650E-01,1.4832E-01,1.4074E-01
217,1.6374E+00,-4.3078E-03,1.0189E+00,1.0083E-01,6.1232E-01
218,1.7528E+00,-1.1819E-02,1.0834E+00,9.6321E-02,6.5258E-01
219,1.7925E+00,-2.6444E-03,1.0160E+00,9.4247E-02,6.8360E-01
220,1.8188E+00,2.8370E-03,9.8377E-01,8.8637E-02,7.7130E-01
221,1.8014E+00,1.3869E-03,9.9229E-01,1.1528E-01,4.0765E-01
222,1.7877E+00,-1.7552E-03,1.0100E+00,1.1584E-01,4.0146E-01
223,1.7882E+00,-4.6440E-03,1.0286E+00,8.1494E-02,8.4345E-01
224,1.7987E+00,-6.9496E-03,1.0513E+00,6.2627E-02,9.7873E-01
225,1.8687E+00,1.7302E-02,9.1932E-01,6.1876E-02,9.8284E-01
226,1.7087E+00,-1.1745E-03,1.0055E+00,9.2177E-02,7.0326E-01
227,1.7141E+00,8.7580E-03,9.6238E-01,8.4611E-02,8.0066E-01
228,1.6647E+00,4.3000E-03,9.8220E-01,6.2342E-02,9.7783E-01
229,2.5427E+00,4.0795E-02,6.7844E-01,1.3247E-01,2.2273E-01
230,1.2657E+01,4.7567E-02,2.7536E+00,4.1407E-01,1.9041E-10
231,1.7352E+00,1.4687E-03,9.9296E-01,9.0390E-02,5.4462E-01
232,1.7392E+00,5.5215E-02,8.2957E-01,5.7223E-02,9.9299E-01
233,1.9157E+00,1.8720E-02,9.0506E-01,7.7474E-02,8.9607E-01
234,1.9150E+00,-7.9952E-03,1.0895E+00,8.3369E-02,8.1496E-01
235,1.9081E+00,-3.3014E-03,1.0260E+00,6.8649E-02,9.3995E-01
236,1.8356E+00,-1.8177E-03,1.0113E+00,7.2168E-02,9.1348E-01
237,1.8051E+00,-5.2545E-03,1.0335E+00,9.4280E-02,6.4756E-01
238,1.7205E+00,-5.8796E-03,1.0306E+00,8.0007E-02,8.4445E-01
239,1.7574E+00,-7.7689E-03,1.0479E+00,7.9611E-02,8.4870E-01
240,1.7927E+00,-1.2478E-02,1.1097E+00,8.1737E-02,8.3318E-01
241,1.7808E+00,6.7881E-03,9.6661E-01,7.8344E-02,8.7536E-01
242,1.6974E+00,-4.4896E-03,1.0224E+00,1.1054E-01,4.2937E-01
243,1.8046E+00,-1.4124E-02,1.1509E+00,1.1058E-01,3.8876E-01
244,1.7111E+00,-1.9450E-02,1.1521E+00,9.6730E-02,5.6700E-01
245,1.6905E+00,-1.9985E-02,1.1424E+00,7.6149E-02,8.5188E-01
246,1.7050E+00,-1.7570E-02,1.1252E+00,7.8249E-02,8.2812E-01
247,1.7378E+00,-1.4108E-02,1.1063E+00,9.0596E-02,6.5959E-01
248,1.7793E+00,-1.0919E-02,1.0907E+00,9.0007E-02,6.6890E-01
249,1.8284E+00,-8.4402E-03,1.0802E+00,1.0125E-01,5.0409E-01
250,1.8945E+00,-6.4369E-03,1.0745E+00,1.0310E-01,4.7960E-01
251,2.0088E+00,-4.4414E-03,1.0730E+00,7.2628E-02,8.8836E-01
252,6.5481E+00,2.9869E-02,4.1234E-02,4.2088E-01,5.4566E-10
